frequency,angle,length,velocity,thickness,pressure
800,0,0.2286,31.7,0.0027238,130.725
800,2.7,0.1524,39.6,0.00294804,128.829
500,9.5,0.0254,55.5,0.0043284,123.082
4000,12.3,0.1016,71.3,0.0337792,118.018
1000,3,0.3048,39.6,0.00495741,128.312
1250,0,0.3048,31.7,0.00331266,124.355
5000,4.2,0.0508,39.6,0.00152689,129.777
800,8.4,0.0508,71.3,0.00529514,127.556
2500,8.4,0.0508,71.3,0.00529514,134.226
6300,1.5,0.3048,71.3,0.00336729,118.122
1250,2,0.2286,31.7,0.00372371,128.677
315,15.6,0.1016,39.6,0.0528487,122.754
6300,4,0.2286,39.6,0.00473801,114.249
4000,7.2,0.1524,71.3,0.00752039,119.343
3150,8.4,0.0508,71.3,0.00529514,131.966
315,17.4,0.0254,55.5,0.0165706,111.911
6300,0,0.0254,71.3,0.000400682,134.987
400,11.2,0.0508,39.6,0.0150478,130.67
4000,8.9,0.1016,39.6,0.0124596,116.22
1600,9.5,0.0254,31.7,0.00461377,131.036
800,17.4,0.0254,55.5,0.0165706,123.091
315,8.9,0.1016,71.3,0.0103088,136.583
200,15.4,0.0508,55.5,0.0271925,122.94
8000,1.5,0.3048,71.3,0.00336729,115.372
250,12.7,0.0254,71.3,0.0121808,119.698
1600,2,0.2286,55.5,0.00313525,126.752
1250,0,0.1016,71.3,0.00121072,130.335
8000,4.2,0.0508,71.3,0.00142788,125.268
1250,0,0.0508,71.3,0.000740478,128.56
200,7.3,0.2286,39.6,0.0123481,130.989
6300,12.3,0.1016,39.6,0.0408268,107.985
400,8.4,0.0508,39.6,0.00566229,120.015
1250,0,0.0508,55.5,0.00076193,127.076
315,12.6,0.1524,71.3,0.0483159,128.484
16000,1.5,0.3048,71.3,0.00336729,106.582
315,0,0.3048,31.7,0.00331266,122.765
2000,3,0.3048,39.6,0.00495741,120.532
6300,0,0.0508,71.3,0.000740478,133.04
3150,5.3,0.2286,39.6,0.00614329,118.441
5000,4.8,0.0254,55.5,0.000873218,135.484
500,0,0.3048,55.5,0.00283081,126.416
1600,6.7,0.1016,31.7,0.00592927,124.346
2000,5.4,0.1524,39.6,0.00485029,124.647
6300,3,0.3048,31.7,0.00529514,109.718
400,12.6,0.1524,71.3,0.0483159,127.094
4000,17.4,0.0254,55.5,0.0165706,121.771
500,6.7,0.1016,55.5,0.0052139,129.343
1600,0,0.2286,31.7,0.0027238,125.625
1250,9.5,0.0254,39.6,0.00449821,130.964
10000,2.7,0.1524,39.6,0.00294804,112.589
400,4,0.2286,55.5,0.0042862,123.274
500,12.7,0.0254,71.3,0.0121808,126.898
2000,17.4,0.0254,55.5,0.0165706,125.261
500,4,0.3048,71.3,0.00497773,130.715
200,15.6,0.1016,71.3,0.0437259,130.898
4000,0,0.2286,31.7,0.0027238,122.035
2000,0,0.2286,39.6,0.00253511,125.305
4000,2,0.2286,71.3,0.00293031,124.086
6300,0,0.0254,55.5,0.00041229,136.103
2000,4.8,0.0254,71.3,0.000848633,128.398
5000,1.5,0.3048,71.3,0.00336729,119.632
500,17.4,0.0254,31.7,0.0176631,127.676
800,7.3,0.2286,39.6,0.0123481,126.299
2000,6.7,0.1016,31.7,0.00592927,120.446
2000,8.9,0.1016,71.3,0.0103088,124.233
10000,4,0.3048,71.3,0.00497773,110.905
250,11.2,0.0508,39.6,0.0150478,126.43
500,0,0.1524,55.5,0.00172668,120.573
800,4,0.2286,71.3,0.00400603,130.688
2000,15.4,0.0508,55.5,0.0271925,127.04
1000,5.3,0.2286,71.3,0.0051942,134
1000,4,0.2286,39.6,0.00473801,129.969
2500,0,0.1016,31.7,0.00150092,132.003
630,9.5,0.0254,55.5,0.0043284,125.452
630,0,0.3048,31.7,0.00331266,129.095
8000,0,0.3048,39.6,0.00310138,114.779
1000,15.6,0.1016,71.3,0.0437259,124.438
2000,15.4,0.0508,71.3,0.0264269,129.285
400,12.3,0.1016,39.6,0.0408268,128.265
1600,0,0.1016,31.7,0.00150092,133.553
